stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
8,65536,65536,8192,1000000,64,64000000,9.655691109,9.531250000,7.486155574,9.328125000,9.765625000,9.000000000,10.203125000,8.281250000,1175.531250000,27422,12345,upgrade_line_l2_stride8_footprint65536_raw.csv
8,131072,131072,16384,1000000,64,64000000,10.655813781,10.515625000,8.322028146,10.296875000,10.703125000,10.046875000,11.078125000,9.546875000,1161.015625000,29804,12345,upgrade_line_l2_stride8_footprint131072_raw.csv
8,262144,262144,32768,1000000,64,64000000,14.270020328,14.015625000,11.044101473,13.437500000,14.640625000,12.656250000,15.687500000,10.859375000,1333.281250000,14981,12345,upgrade_line_l2_stride8_footprint262144_raw.csv
8,524288,524288,65536,1000000,64,64000000,25.009173328,24.593750000,15.847682584,23.687500000,25.531250000,22.390625000,26.953125000,18.250000000,1239.812500000,9457,12345,upgrade_line_l2_stride8_footprint524288_raw.csv
16,65536,65536,4096,1000000,64,64000000,9.802689359,9.609375000,13.936636317,9.375000000,9.812500000,9.093750000,10.078125000,8.468750000,8370.265625000,6955,12345,upgrade_line_l2_stride16_footprint65536_raw.csv
16,131072,131072,8192,1000000,64,64000000,10.976269047,10.796875000,10.597136588,10.609375000,10.953125000,10.328125000,11.234375000,9.484375000,1315.640625000,29586,12345,upgrade_line_l2_stride16_footprint131072_raw.csv
16,262144,262144,16384,1000000,64,64000000,14.386550344,14.187500000,9.902349512,13.593750000,14.796875000,12.750000000,15.781250000,10.890625000,902.484375000,12081,12345,upgrade_line_l2_stride16_footprint262144_raw.csv
16,524288,524288,32768,1000000,64,64000000,25.287970984,24.968750000,13.041223524,24.140625000,25.875000000,23.000000000,27.078125000,20.312500000,1505.578125000,8468,12345,upgrade_line_l2_stride16_footprint524288_raw.csv
32,65536,65536,2048,1000000,64,64000000,10.368947016,10.234375000,8.977304573,10.046875000,10.421875000,9.765625000,10.812500000,9.359375000,1269.843750000,9473,12345,upgrade_line_l2_stride32_footprint65536_raw.csv
32,131072,131072,4096,1000000,64,64000000,11.227840938,11.093750000,8.558632898,10.921875000,11.234375000,10.703125000,11.484375000,10.359375000,994.484375000,16131,12345,upgrade_line_l2_stride32_footprint131072_raw.csv
32,262144,262144,8192,1000000,64,64000000,15.238212859,14.890625000,13.818690713,14.250000000,15.578125000,13.328125000,16.718750000,11.343750000,1185.421875000,14617,12345,upgrade_line_l2_stride32_footprint262144_raw.csv
32,524288,524288,16384,1000000,64,64000000,26.515456859,26.156250000,17.305977795,25.203125000,27.046875000,23.937500000,28.203125000,20.500000000,7273.843750000,7808,12345,upgrade_line_l2_stride32_footprint524288_raw.csv
64,65536,65536,1024,1000000,64,64000000,11.616877406,11.453125000,9.015338304,11.406250000,11.484375000,11.343750000,11.937500000,11.046875000,1081.859375000,111915,12345,upgrade_line_l2_stride64_footprint65536_raw.csv
