stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
56,65536,65520,1170,1000000,64,64000000,11.205345797,11.062500000,9.653669259,10.875000000,11.265625000,10.609375000,11.718750000,10.046875000,5531.343750000,33323,12345,upgrade_dense_knee2_stride56_footprint65520_raw.csv
56,131072,131040,2340,1000000,64,64000000,13.307859594,13.062500000,10.644772612,12.468750000,13.703125000,11.750000000,14.671875000,10.906250000,1074.625000000,8628,12345,upgrade_dense_knee2_stride56_footprint131040_raw.csv
56,262144,262136,4681,1000000,64,64000000,17.410489609,17.031250000,12.332485025,16.281250000,17.921875000,15.281250000,19.453125000,12.718750000,949.546875000,15745,12345,upgrade_dense_knee2_stride56_footprint262136_raw.csv
56,524288,524272,9362,1000000,64,64000000,27.850014703,27.546875000,15.072498498,26.671875000,28.375000000,25.281250000,29.468750000,20.812500000,1090.859375000,12309,12345,upgrade_dense_knee2_stride56_footprint524272_raw.csv
60,65536,65520,1092,1000000,64,64000000,11.706873141,11.546875000,9.685948546,11.406250000,11.703125000,11.187500000,11.921875000,10.859375000,1077.906250000,11842,12345,upgrade_dense_knee2_stride60_footprint65520_raw.csv
60,131072,131040,2184,1000000,64,64000000,13.849507859,13.703125000,9.052787046,13.234375000,14.171875000,12.531250000,14.890625000,11.343750000,1319.578125000,6607,12345,upgrade_dense_knee2_stride60_footprint131040_raw.csv
60,262144,262140,4369,1000000,64,64000000,18.314170234,17.953125000,12.642843098,17.125000000,18.890625000,16.031250000,20.375000000,13.250000000,1075.765625000,12976,12345,upgrade_dense_knee2_stride60_footprint262140_raw.csv
60,524288,524280,8738,1000000,64,64000000,28.832581531,28.500000000,15.655109756,27.640625000,29.312500000,26.390625000,30.531250000,22.890625000,5694.125000000,11877,12345,upgrade_dense_knee2_stride60_footprint524280_raw.csv
64,65536,65536,1024,1000000,64,64000000,11.633875375,11.453125000,10.674834083,11.421875000,11.468750000,11.359375000,11.515625000,10.968750000,1168.734375000,75580,12345,upgrade_dense_knee2_stride64_footprint65536_raw.csv
64,131072,131072,2048,1000000,64,64000000,14.197082344,13.906250000,12.525043882,13.390625000,14.578125000,12.812500000,15.609375000,11.687500000,7215.578125000,7848,12345,upgrade_dense_knee2_stride64_footprint131072_raw.csv
64,262144,262144,4096,1000000,64,64000000,18.634791906,18.203125000,16.378434860,17.359375000,19.015625000,16.218750000,20.281250000,13.437500000,1260.500000000,12007,12345,upgrade_dense_knee2_stride64_footprint262144_raw.csv
64,524288,524288,8192,1000000,64,64000000,31.262008984,30.593750000,15.386083846,29.671875000,31.546875000,28.375000000,34.218750000,24.625000000,5759.000000000,53842,12345,upgrade_dense_knee2_stride64_footprint524288_raw.csv
68,65536,65484,963,1000000,64,64000000,12.167679375,12.062500000,9.535639318,11.875000000,12.187500000,11.500000000,12.375000000,11.109375000,1034.031250000,8890,12345,upgrade_dense_knee2_stride68_footprint65484_raw.csv
68,131072,131036,1927,1000000,64,64000000,14.334776094,14.078125000,10.281342303,13.578125000,14.671875000,12.906250000,15.656250000,11.562500000,1334.375000000,14136,12345,upgrade_dense_knee2_stride68_footprint131036_raw.csv
68,262144,262140,3855,1000000,64,64000000,18.507094438,18.187500000,13.521190243,17.406250000,18.984375000,16.375000000,20.156250000,13.234375000,1097.109375000,10847,12345,upgrade_dense_knee2_stride68_footprint262140_raw.csv
68,524288,524280,7710,1000000,64,64000000,29.287380031,28.875000000,16.227395797,28.031250000,29.718750000,26.703125000,30.984375000,23.078125000,1055.562500000,11560,12345,upgrade_dense_knee2_stride68_footprint524280_raw.csv
72,65536,65520,910,1000000,64,64000000,11.629091984,11.453125000,10.132031154,11.406250000,11.500000000,11.343750000,11.609375000,11.046875000,900.046875000,38086,12345,upgrade_dense_knee2_stride72_footprint65520_raw.csv
72,131072,131040,1820,1000000,64,64000000,13.615946766,13.453125000,10.421277880,13.015625000,13.859375000,12.343750000,14.515625000,11.109375000,1082.000000000,13884,12345,upgrade_dense_knee2_stride72_footprint131040_raw.csv
72,262144,262080,3640,1000000,64,64000000,18.002610266,17.718750000,15.124966321,17.000000000,18.453125000,15.906250000,19.531250000,13.734375000,7742.046875000,11174,12345,upgrade_dense_knee2_stride72_footprint262080_raw.csv
72,524288,524232,7281,1000000,64,64000000,28.696781281,28.375000000,13.692507597,27.546875000,29.218750000,26.390625000,30.421875000,23.359375000,1189.718750000,7169,12345,upgrade_dense_knee2_stride72_footprint524232_raw.csv
