mode,param1,param2,param3,n_samples,elapsed_ns,cycles,instructions,cache_refs,cache_misses,l1d_loads,l1d_misses,ll_loads,ll_misses,raw_l2_1,raw_l2_2,any_group_multiplexed,cache_miss_rate,l1d_miss_rate,ll_miss_rate
capacity,16384,0,0,1000000,76427538.0,5106078,7000045,3,0,5000018,18,0,0,15,0,0,0.000000,0.000004,-1.000000
capacity,24576,0,0,1000000,55497971.0,5003085,7000046,10,0,5000018,59,0,0,211,0,0,0.000000,0.000012,-1.000000
capacity,32768,0,0,1000000,53934542.0,6003355,7000046,8,0,5000017,260,0,0,196,1,0,0.000000,0.000052,-1.000000
capacity,40960,0,0,1000000,51649699.0,6877940,7000047,7,0,5000015,3423,0,0,3559,0,0,0.000000,0.000685,-1.000000
capacity,49152,0,0,1000000,50813751.0,5130604,7000046,8,0,5000015,7774,0,0,8454,0,0,0.000000,0.001555,-1.000000
capacity,65536,0,0,1000000,59392925.0,8317929,7000048,5,0,5000017,301210,0,0,300431,1,0,0.000000,0.060242,-1.000000
