mode,param1,param2,param3,n_samples,elapsed_ns,cycles,instructions,cache_refs,cache_misses,l1d_loads,l1d_misses,ll_loads,ll_misses,raw_l2_1,raw_l2_2,any_group_multiplexed,cache_miss_rate,l1d_miss_rate,ll_miss_rate
stride,16,4194304,0,1000000,304805480.0,46685513,7000067,640946,18,5000037,991692,643741,2,358054,633656,0,0.000028,0.198337,0.000003
stride,32,4194304,0,1000000,250082724.0,53946980,7000070,766687,14,5000040,994262,743838,0,238695,755741,0,0.000018,0.198851,0.000000
stride,48,4194304,0,1000000,236986676.0,56306011,7000071,807612,4,5000048,995772,756636,0,239029,756717,0,0.000005,0.199152,0.000000
stride,64,4194304,0,1000000,252811099.0,65179795,7000076,999973,16,5000046,1000057,999914,8,150,999907,0,0.000016,0.200010,0.000008
stride,80,4194304,0,1000000,234716195.0,64087855,7000075,975591,1,5000045,1000057,968043,1,30169,969903,0,0.000001,0.200010,0.000001
stride,96,4194304,0,1000000,203228806.0,54263554,7000078,773396,53,5000041,1000059,773810,0,229106,770908,0,0.000069,0.200010,0.000000
stride,128,4194304,0,1000000,232814882.0,65803593,7000084,1000088,2,5000046,999997,1000008,0,16,1000012,0,0.000002,0.199998,0.000000
stride,256,4194304,0,1000000,221346346.0,66047825,7000076,1000137,6,5000046,1000043,1000040,0,17,1000025,0,0.000006,0.200007,0.000000
