set_stride_bytes,ways,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
32768,1,1000000,128,128000000,5.723983625,5.656250000,1.267294044,5.625000000,5.671875000,5.593750000,5.718750000,5.484375000,454.000000000,30543,12345,artemisia_l2_assoc_setstride32768_ways1_raw.csv
32768,2,1000000,128,128000000,5.732257391,5.656250000,1.261427072,5.625000000,5.671875000,5.593750000,5.718750000,5.484375000,360.421875000,35189,12345,artemisia_l2_assoc_setstride32768_ways2_raw.csv
32768,3,1000000,128,128000000,6.327145656,5.703125000,1.687194624,5.656250000,6.453125000,5.609375000,9.406250000,5.500000000,301.562500000,145561,12345,artemisia_l2_assoc_setstride32768_ways3_raw.csv
32768,4,1000000,128,128000000,6.336804766,5.703125000,1.756558164,5.656250000,6.468750000,5.609375000,9.421875000,5.484375000,384.593750000,143573,12345,artemisia_l2_assoc_setstride32768_ways4_raw.csv
32768,5,1000000,128,128000000,6.313751156,5.703125000,1.662061602,5.656250000,6.437500000,5.609375000,9.390625000,5.500000000,211.640625000,143213,12345,artemisia_l2_assoc_setstride32768_ways5_raw.csv
32768,6,1000000,128,128000000,6.311709422,5.703125000,1.703687285,5.656250000,6.437500000,5.609375000,9.390625000,5.500000000,217.687500000,141384,12345,artemisia_l2_assoc_setstride32768_ways6_raw.csv
32768,7,1000000,128,128000000,6.407774719,5.703125000,62.533237270,5.656250000,6.437500000,5.609375000,9.390625000,5.484375000,46295.734375000,143465,12345,artemisia_l2_assoc_setstride32768_ways7_raw.csv
32768,8,1000000,128,128000000,6.307396828,5.703125000,1.621725935,5.656250000,6.437500000,5.609375000,9.375000000,5.515625000,211.093750000,141379,12345,artemisia_l2_assoc_setstride32768_ways8_raw.csv
32768,9,1000000,128,128000000,6.314877125,5.703125000,1.669522004,5.656250000,6.437500000,5.609375000,9.390625000,5.515625000,304.718750000,143729,12345,artemisia_l2_assoc_setstride32768_ways9_raw.csv
32768,10,1000000,128,128000000,6.867435172,6.906250000,1.746589481,5.687500000,7.296875000,5.625000000,9.546875000,5.500000000,363.015625000,43952,12345,artemisia_l2_assoc_setstride32768_ways10_raw.csv
32768,11,1000000,128,128000000,6.821064984,6.859375000,1.711802909,5.687500000,7.187500000,5.625000000,9.500000000,5.500000000,343.750000000,52537,12345,artemisia_l2_assoc_setstride32768_ways11_raw.csv
32768,12,1000000,128,128000000,7.790787859,7.671875000,1.603042538,7.046875000,7.968750000,6.875000000,10.203125000,6.546875000,386.343750000,74353,12345,artemisia_l2_assoc_setstride32768_ways12_raw.csv
32768,13,1000000,128,128000000,22.046917406,21.906250000,3.422022543,21.687500000,22.484375000,20.625000000,22.640625000,15.109375000,2776.656250000,36304,12345,artemisia_l2_assoc_setstride32768_ways13_raw.csv
32768,14,1000000,128,128000000,22.381228141,22.343750000,6.159043877,22.187500000,22.687500000,20.890625000,22.828125000,19.343750000,4770.359375000,103312,12345,artemisia_l2_assoc_setstride32768_ways14_raw.csv
32768,15,1000000,128,128000000,22.594444188,22.484375000,1.988450509,22.312500000,22.718750000,22.187500000,22.859375000,20.625000000,342.312500000,9504,12345,artemisia_l2_assoc_setstride32768_ways15_raw.csv
32768,16,1000000,128,128000000,22.814800375,22.765625000,2.059258315,22.468750000,22.890625000,22.375000000,23.343750000,20.437500000,511.453125000,27018,12345,artemisia_l2_assoc_setstride32768_ways16_raw.csv
32768,17,1000000,128,128000000,22.798784391,22.703125000,3.449339674,22.515625000,22.875000000,22.421875000,23.031250000,20.593750000,2751.765625000,20187,12345,artemisia_l2_assoc_setstride32768_ways17_raw.csv
32768,18,1000000,128,128000000,22.884564219,22.781250000,2.069936511,22.640625000,22.953125000,22.562500000,23.062500000,21.750000000,461.875000000,11426,12345,artemisia_l2_assoc_setstride32768_ways18_raw.csv
32768,19,1000000,128,128000000,22.898897828,22.796875000,1.964017063,22.656250000,22.968750000,22.578125000,23.093750000,21.312500000,327.390625000,10129,12345,artemisia_l2_assoc_setstride32768_ways19_raw.csv
32768,20,1000000,128,128000000,22.988564531,22.906250000,2.025521928,22.718750000,23.078125000,22.609375000,23.187500000,21.843750000,325.078125000,10972,12345,artemisia_l2_assoc_setstride32768_ways20_raw.csv
32768,21,1000000,128,128000000,23.023202797,22.906250000,2.087403175,22.812500000,23.062500000,22.734375000,23.187500000,21.500000000,359.843750000,14881,12345,artemisia_l2_assoc_setstride32768_ways21_raw.csv
32768,22,1000000,128,128000000,23.114304266,22.984375000,2.262150012,22.812500000,23.140625000,22.750000000,23.265625000,21.734375000,359.078125000,18505,12345,artemisia_l2_assoc_setstride32768_ways22_raw.csv
32768,23,1000000,128,128000000,23.100063656,22.984375000,2.120950474,22.828125000,23.140625000,22.750000000,23.250000000,22.031250000,358.578125000,15906,12345,artemisia_l2_assoc_setstride32768_ways23_raw.csv
32768,24,1000000,128,128000000,23.151586297,23.031250000,2.274602035,22.875000000,23.156250000,22.781250000,23.281250000,22.406250000,371.765625000,17109,12345,artemisia_l2_assoc_setstride32768_ways24_raw.csv
