mode,param1,param2,param3,n_samples,elapsed_ns,cycles,instructions,cache_refs,cache_misses,l1d_loads,l1d_misses,ll_loads,ll_misses,raw_l2_1,raw_l2_2,any_group_multiplexed,cache_miss_rate,l1d_miss_rate,ll_miss_rate
capacity,16384,0,0,1000000,31609097.0,10057302,7000050,8,0,5000050,386,4,0,-1,-1,0,0.000000,0.000077,0.000000
capacity,24576,0,0,1000000,21447185.0,10119132,7000048,75,0,5000051,5749,10,0,-1,-1,0,0.000000,0.001150,0.000000
capacity,32768,0,0,1000000,20014340.0,10226342,7000048,103,0,5000048,14913,13,0,-1,-1,0,0.000000,0.002983,0.000000
capacity,40960,0,0,1000000,23363934.0,11813032,7000049,63,0,5000055,240892,61,0,-1,-1,0,0.000000,0.048178,0.000000
capacity,49152,0,0,1000000,25359356.0,12769778,7000049,7,0,5000055,377968,404,0,-1,-1,0,0.000000,0.075593,0.000000
capacity,65536,0,0,1000000,26498881.0,13988278,7000049,280,0,5000062,548128,10,0,-1,-1,0,0.000000,0.109624,0.000000
