mode,param1,param2,param3,n_samples,elapsed_ns,cycles,instructions,cache_refs,cache_misses,l1d_loads,l1d_misses,ll_loads,ll_misses,raw_l2_1,raw_l2_2,any_group_multiplexed,cache_miss_rate,l1d_miss_rate,ll_miss_rate
stride,16,4194304,0,1000000,168583817.0,44224002,7000063,954083,0,5000146,994991,954056,0,-1,-1,0,0.000000,0.198992,0.000000
stride,32,4194304,0,1000000,116817819.0,47716885,7000062,969627,1,5000146,997528,969598,0,-1,-1,0,0.000001,0.199500,0.000000
stride,48,4194304,0,1000000,104049759.0,47997962,7000063,976496,1,5000153,997623,976490,0,-1,-1,0,0.000001,0.199518,0.000000
stride,64,4194304,0,1000000,98838132.0,48750882,7000063,1002379,0,5000146,1002651,1002373,0,-1,-1,0,0.000000,0.200524,0.000000
stride,80,4194304,0,1000000,94676550.0,48728151,7000062,1000541,0,5000153,1000616,1000530,0,-1,-1,0,0.000000,0.200117,0.000000
stride,96,4194304,0,1000000,92096787.0,48789000,7000062,1000698,0,5000146,1000940,1000688,0,-1,-1,0,0.000000,0.200182,0.000000
stride,128,4194304,0,1000000,88580491.0,48745345,7000062,1003564,0,5000127,1004169,1003559,0,-1,-1,0,0.000000,0.200829,0.000000
stride,256,4194304,0,1000000,83431266.0,48749069,7000062,1006313,0,5000133,1006998,1006324,0,-1,-1,0,0.000000,0.201394,0.000000
