mode,param1,param2,param3,n_samples,elapsed_ns,cycles,instructions,cache_refs,cache_misses,l1d_loads,l1d_misses,ll_loads,ll_misses,raw_l2_1,raw_l2_2,any_group_multiplexed,cache_miss_rate,l1d_miss_rate,ll_miss_rate
stride,16,4194304,0,1000000,105731358.0,52193431,7000075,768802,0,5000029,991356,761001,18,-1,-1,0,0.000000,0.198270,0.000024
stride,32,4194304,0,1000000,77809002.0,55478852,7000075,847038,210,5000029,994296,839373,3,-1,-1,0,0.000248,0.198858,0.000004
stride,48,4194304,0,1000000,70860824.0,57309308,7000076,888443,2,5000030,995705,880212,0,-1,-1,0,0.000002,0.199140,0.000000
stride,64,4194304,0,1000000,71844064.0,62219646,7000077,1006464,4,5000031,1000041,997512,0,-1,-1,0,0.000004,0.200007,0.000000
stride,80,4194304,0,1000000,70001929.0,64339868,7000078,1007633,1938,5000031,1000033,997201,783,-1,-1,0,0.001923,0.200005,0.000785
stride,96,4194304,0,1000000,66322692.0,61733820,7000078,994644,350,5000031,1000091,984906,0,-1,-1,0,0.000352,0.200017,0.000000
stride,128,4194304,0,1000000,64273717.0,61972603,7000077,1003386,11,5000031,1000029,998789,0,-1,-1,0,0.000011,0.200005,0.000000
stride,256,4194304,0,1000000,61135299.0,62551128,7000078,1003063,142,5000031,1000023,999217,1,-1,-1,0,0.000142,0.200003,0.000001
