mode,param1,param2,param3,n_samples,elapsed_ns,cycles,instructions,cache_refs,cache_misses,l1d_loads,l1d_misses,ll_loads,ll_misses,raw_l2_1,raw_l2_2,any_group_multiplexed,cache_miss_rate,l1d_miss_rate,ll_miss_rate
stride,16,4194304,0,1000000,77139419.0,36244198,7000054,1929581,945162,6051446,1053608,-1,-1,-1,-1,0,0.489828,0.174108,-1.000000
stride,32,4194304,0,1000000,51190854.0,36580354,7000054,1961774,972422,6055112,1069645,-1,-1,-1,-1,0,0.495685,0.176652,-1.000000
stride,48,4194304,0,1000000,45554834.0,36872963,7000054,1890799,917769,6050544,997312,-1,-1,-1,-1,0,0.485387,0.164830,-1.000000
stride,64,4194304,0,1000000,43221847.0,37122896,7000054,1913461,938691,6052972,1000233,-1,-1,-1,-1,0,0.490572,0.165247,-1.000000
stride,80,4194304,0,1000000,41441911.0,37337887,7000054,1918142,941959,6068648,1000428,-1,-1,-1,-1,0,0.491079,0.164852,-1.000000
stride,96,4194304,0,1000000,40501939.0,37588784,7000054,1926754,951688,6052300,1000216,-1,-1,-1,-1,0,0.493933,0.165262,-1.000000
stride,128,4194304,0,1000000,38066782.0,36646370,7000054,1990391,1000651,6051415,1000254,-1,-1,-1,-1,0,0.502741,0.165293,-1.000000
stride,256,4194304,0,1000000,38323691.0,39193316,7000055,1990756,1000810,6065389,1000007,-1,-1,-1,-1,0,0.502729,0.164871,-1.000000
