stride_bytes,requested_footprint_bytes,actual_footprint_bytes,nodes,timed_samples,dependent_accesses_per_sample,total_dependent_accesses,mean_tsc_ticks_per_access,median_tsc_ticks_per_access,stddev,q1,q3,p5,p95,min,max,outliers,seed,raw_file
56,16384,16352,292,1000000,64,64000000,8.611528156,8.562500000,1.625866604,8.500000000,8.656250000,8.406250000,8.906250000,8.031250000,525.906250000,52154,12345,line_dense_knee1_stride56_footprint16352_raw.csv
56,32768,32760,585,1000000,64,64000000,9.236417531,9.093750000,1.830054502,8.937500000,9.312500000,8.718750000,9.687500000,8.250000000,481.406250000,28806,12345,line_dense_knee1_stride56_footprint32760_raw.csv
56,65536,65520,1170,1000000,64,64000000,13.925514750,13.875000000,3.524123700,13.718750000,14.062500000,13.375000000,14.312500000,12.687500000,1280.687500000,20827,12345,line_dense_knee1_stride56_footprint65520_raw.csv
56,131072,131040,2340,1000000,64,64000000,15.838006281,15.718750000,2.274809840,15.250000000,16.281250000,14.656250000,17.187500000,13.781250000,493.312500000,11413,12345,line_dense_knee1_stride56_footprint131040_raw.csv
60,16384,16380,273,1000000,64,64000000,8.932317500,8.906250000,1.467991212,8.812500000,9.000000000,8.656250000,9.218750000,8.218750000,486.875000000,23275,12345,line_dense_knee1_stride60_footprint16380_raw.csv
60,32768,32760,546,1000000,64,64000000,9.512624563,9.468750000,2.175222576,9.250000000,9.718750000,8.968750000,10.031250000,8.375000000,824.375000000,5752,12345,line_dense_knee1_stride60_footprint32760_raw.csv
60,65536,65520,1092,1000000,64,64000000,14.747094719,14.687500000,1.957846281,14.500000000,14.906250000,14.250000000,15.281250000,13.531250000,510.843750000,8931,12345,line_dense_knee1_stride60_footprint65520_raw.csv
60,131072,131040,2184,1000000,64,64000000,16.699662688,16.625000000,2.243274990,16.156250000,17.125000000,15.625000000,17.843750000,14.250000000,498.281250000,8693,12345,line_dense_knee1_stride60_footprint131040_raw.csv
64,16384,16384,256,1000000,64,64000000,8.596211406,8.562500000,1.538094233,8.500000000,8.625000000,8.406250000,8.843750000,8.156250000,489.218750000,52902,12345,line_dense_knee1_stride64_footprint16384_raw.csv
64,32768,32768,512,1000000,64,64000000,9.227756500,9.187500000,1.583146483,9.000000000,9.375000000,8.812500000,9.593750000,8.281250000,488.000000000,6596,12345,line_dense_knee1_stride64_footprint32768_raw.csv
64,65536,65536,1024,1000000,64,64000000,14.688748094,14.656250000,1.959117859,14.531250000,14.718750000,14.468750000,14.906250000,13.781250000,493.562500000,12724,12345,line_dense_knee1_stride64_footprint65536_raw.csv
64,131072,131072,2048,1000000,64,64000000,16.392223906,16.250000000,2.509518436,15.750000000,16.875000000,15.218750000,17.812500000,14.312500000,815.250000000,8097,12345,line_dense_knee1_stride64_footprint131072_raw.csv
68,16384,16320,240,1000000,64,64000000,8.977322438,8.968750000,1.606090925,8.812500000,9.093750000,8.656250000,9.281250000,8.187500000,488.312500000,7448,12345,line_dense_knee1_stride68_footprint16320_raw.csv
68,32768,32708,481,1000000,64,64000000,9.496780563,9.437500000,1.816705115,9.312500000,9.593750000,9.125000000,9.875000000,8.437500000,515.437500000,22229,12345,line_dense_knee1_stride68_footprint32708_raw.csv
68,65536,65484,963,1000000,64,64000000,15.311413656,15.312500000,1.967126861,15.093750000,15.468750000,14.656250000,15.781250000,14.062500000,519.093750000,15527,12345,line_dense_knee1_stride68_footprint65484_raw.csv
68,131072,131036,1927,1000000,64,64000000,17.107624938,17.031250000,2.254982960,16.531250000,17.562500000,15.812500000,18.468750000,14.343750000,497.593750000,12888,12345,line_dense_knee1_stride68_footprint131036_raw.csv
72,16384,16344,227,1000000,64,64000000,8.514548625,8.468750000,1.679551853,8.437500000,8.500000000,8.406250000,8.625000000,8.000000000,488.500000000,79448,12345,line_dense_knee1_stride72_footprint16344_raw.csv
72,32768,32760,455,1000000,64,64000000,9.028778312,8.968750000,1.544516988,8.812500000,9.187500000,8.625000000,9.468750000,8.218750000,481.500000000,6661,12345,line_dense_knee1_stride72_footprint32760_raw.csv
72,65536,65520,910,1000000,64,64000000,14.626369125,14.593750000,2.053114303,14.500000000,14.687500000,14.406250000,14.781250000,13.812500000,519.937500000,9926,12345,line_dense_knee1_stride72_footprint65520_raw.csv
72,131072,131040,1820,1000000,64,64000000,16.127330937,16.031250000,2.220229169,15.593750000,16.531250000,15.000000000,17.281250000,14.000000000,495.343750000,9796,12345,line_dense_knee1_stride72_footprint131040_raw.csv
